run,repetition,module,name,count,sumweights,mean,stddev,min,max
General-0-20200620-21:14:22-20653,0,exercise_7.Users[85].pppg$o[0].channel,throughput:stats,33959,,1425.8285443029,100.9690381481,418.12851955402,2422.5911833994
General-0-20200620-21:14:22-20653,0,exercise_7.Users[86].pppg$o[0].channel,throughput:stats,35031,,1377.2648865496,147.42229634683,440,2836.3422384681
General-0-20200620-21:14:22-20653,0,exercise_7.Users[87].pppg$o[0].channel,throughput:stats,30850,,1275.8192217643,117.79640332976,440,2421.6666305267
General-0-20200620-21:14:22-20653,0,exercise_7.Users[88].pppg$o[0].channel,throughput:stats,30640,,1120.6727042519,88.291836545238,440,2421.2046186733
General-0-20200620-21:14:22-20653,0,exercise_7.Users[89].pppg$o[0].channel,throughput:stats,31799,,1290.1110025521,140.13748990609,440,2420.7427830739
General-0-20200620-21:14:22-20653,0,exercise_7.Users[90].pppg$o[0].channel,throughput:stats,30269,,1276.109354151,134.91376875342,440,2420.2811236276
General-0-20200620-21:14:22-20653,0,exercise_7.Users[91].pppg$o[0].channel,throughput:stats,33335,,1262.4226084427,127.23170618817,440,2419.8196402338
General-0-20200620-21:14:22-20653,0,exercise_7.Users[92].pppg$o[0].channel,throughput:stats,32913,,1292.1521180469,101.69015988769,440,2419.3583327918
General-0-20200620-21:14:22-20653,0,exercise_7.Users[93].pppg$o[0].channel,throughput:stats,31943,,1261.6852630264,129.26887735794,440,2418.8972012008
General-0-20200620-21:14:22-20653,0,exercise_7.Users[94].pppg$o[0].channel,throughput:stats,32983,,1344.9125887768,142.4819299518,440,2776.4174890862
General-0-20200620-21:14:22-20653,0,exercise_7.Users[95].pppg$o[0].channel,throughput:stats,33111,,1426.2414774972,179.21662418688,376.34166286035,2417.9754651702
General-0-20200620-21:14:22-20653,0,exercise_7.Users[96].pppg$o[0].channel,throughput:stats,32459,,1293.827400265,234.57005726691,440,2675.7099544357
General-0-20200620-21:14:22-20653,0,exercise_7.Users[97].pppg$o[0].channel,throughput:stats,31435,,1208.6026802835,74.754049274449,440,2417.0544313386
General-0-20200620-21:14:22-20653,0,exercise_7.Users[98].pppg$o[0].channel,throughput:stats,29174,,1185.9727467858,108.68485132005,440,2416.5941774968
General-0-20200620-21:14:22-20653,0,exercise_7.Users[99].pppg$o[0].channel,throughput:stats,30100,,1208.0796630083,150.7647033067,440,2519.8086795335
General-0-20200620-21:14:22-20653,0,exercise_7.Users[100].pppg$o[0].channel,throughput:stats,29092,,1354.4113475366,305.59390267615,440,2900.8769335595
General-0-20200620-21:14:22-20653,0,exercise_7.Users[101].pppg$o[0].channel,throughput:stats,30567,,1072.0926382432,155.71500498188,440,2813.4238799452
General-0-20200620-21:14:22-20653,0,exercise_7.Users[102].pppg$o[0].channel,throughput:stats,30829,,1352.4697923322,254.96559411067,440,2799.2778745242
General-0-20200620-21:14:22-20653,0,exercise_7.Users[103].pppg$o[0].channel,throughput:stats,31575,,1320.7227111747,176.61775966682,440,2844.4040273351
General-0-20200620-21:14:22-20653,0,exercise_7.Users[104].pppg$o[0].channel,throughput:stats,31540,,1245.9064591559,96.340578224721,440,2636.5286564226
General-0-20200620-21:14:22-20653,0,exercise_7.Users[105].pppg$o[0].channel,throughput:stats,30184,,1144.8144468894,90.675978969923,144.67162493593,2424.8129932458
General-0-20200620-21:14:22-20653,0,exercise_7.Users[106].pppg$o[0].channel,throughput:stats,31495,,1262.5105749141,137.68446707355,440,2424.3497801848
General-0-20200620-21:14:22-20653,0,exercise_7.Users[107].pppg$o[0].channel,throughput:stats,32272,,1269.554310898,102.7234713701,440,2423.8867440655
General-0-20200620-21:14:22-20653,0,exercise_7.Users[108].pppg$o[0].channel,throughput:stats,33559,,1311.0133283808,92.292762462275,440,2423.4238847867
General-0-20200620-21:14:22-20653,0,exercise_7.Users[109].pppg$o[0].channel,throughput:stats,32511,,1363.1749516564,140.74130332381,440,2730.7870503822
General-0-20200620-21:14:22-20653,0,exercise_7.Users[110].pppg$o[0].channel,throughput:stats,31561,,1476.5620895502,242.98951365289,440,2477.7159480056
General-0-20200620-21:14:22-20653,0,exercise_7.Users[111].pppg$o[0].channel,throughput:stats,31562,,1148.4525082492,100.34451952238,440,2422.0363669801
General-0-20200620-21:14:22-20653,0,exercise_7.Users[112].pppg$o[0].channel,throughput:stats,30682,,1186.741570627,87.732303528893,440,2421.5742140509
General-0-20200620-21:14:22-20653,0,exercise_7.Users[113].pppg$o[0].channel,throughput:stats,31858,,1339.165982633,168.03477087792,440,2421.1122374563
General-0-20200620-21:14:22-20653,0,exercise_7.Users[114].pppg$o[0].channel,throughput:stats,35343,,1453.8391981431,101.87670492427,440,2420.6504370956
General-0-20200620-21:14:22-20653,0,exercise_7.Users[115].pppg$o[0].channel,throughput:stats,32651,,1266.1167089587,131.9109734399,265.58205548365,2420.1888128679
General-0-20200620-21:14:22-20653,0,exercise_7.Users[116].pppg$o[0].channel,throughput:stats,34723,,1341.8264538938,193.83989927551,440,2789.084967197
General-0-20200620-21:14:22-20653,0,exercise_7.Users[117].pppg$o[0].channel,throughput:stats,33420,,1265.3129989335,114.76718442463,440,2797.8503376461
General-0-20200620-21:14:22-20653,0,exercise_7.Users[118].pppg$o[0].channel,throughput:stats,32075,,1187.4142238361,160.52671582987,440,2772.6011515489
General-0-20200620-21:14:22-20653,0,exercise_7.Users[119].pppg$o[0].channel,throughput:stats,33129,,1269.4279346399,104.01654423839,440,2418.3440752736
General-0-20200620-21:14:22-20653,0,exercise_7.Users[120].pppg$o[0].channel,throughput:stats,30847,,1173.0686394584,110.67275166831,440,2417.8833302013
General-0-20200620-21:14:22-20653,0,exercise_7.Users[121].pppg$o[0].channel,throughput:stats,30894,,1126.221664726,97.404392033074,361.82300567218,2417.4227606587
General-0-20200620-21:14:22-20653,0,exercise_7.Users[122].pppg$o[0].channel,throughput:stats,33133,,1273.5541832752,175.89545291385,341.90659814189,2416.9623665455
General-0-20200620-21:14:22-20653,0,exercise_7.Users[123].pppg$o[0].channel,throughput:stats,33061,,1255.0471446462,105.73156484842,402.56087257915,2416.5021477615
General-0-20200620-21:14:22-20653,0,exercise_7.Users[124].pppg$o[0].channel,throughput:stats,30751,,1251.4981541711,109.36243755372,440,2416.0421042065
General-0-20200620-21:14:22-20653,0,exercise_7.Users[125].pppg$o[0].channel,throughput:stats,33815,,1300.8619809858,108.77915211232,440,2806.5148052732
General-0-20200620-21:14:22-20653,0,exercise_7.Users[126].pppg$o[0].channel,throughput:stats,35274,,1420.8606232397,173.32976103477,440,2851.6246762229
General-0-20200620-21:14:22-20653,0,exercise_7.Users[127].pppg$o[0].channel,throughput:stats,32111,,1244.5597648878,129.96365811571,440,2813.1115317181
General-0-20200620-21:14:22-20653,0,exercise_7.Users[128].pppg$o[0].channel,throughput:stats,27579,,1044.2635444296,213.13500979506,440,2816.069089284
General-0-20200620-21:14:22-20653,0,exercise_7.Users[129].pppg$o[0].channel,throughput:stats,33206,,1295.915473372,208.77534621431,440,2650.2201545731
General-0-20200620-21:14:22-20653,0,exercise_7.Users[130].pppg$o[0].channel,throughput:stats,32736,,1347.3153469761,208.0059291113,440,2663.8419481432
General-0-20200620-21:14:22-20653,0,exercise_7.Users[131].pppg$o[0].channel,throughput:stats,32184,,1175.7441339349,112.1524392384,440,2424.7203364734
General-0-20200620-21:14:22-20653,0,exercise_7.Users[132].pppg$o[0].channel,throughput:stats,30290,,1251.700331285,116.71247062107,440,2529.8017568037
General-0-20200620-21:14:22-20653,0,exercise_7.Users[133].pppg$o[0].channel,throughput:stats,35362,,1309.456240483,100.18111043255,440,2423.7941580658
General-0-20200620-21:14:22-20653,0,exercise_7.Users[134].pppg$o[0].channel,throughput:stats,32764,,1208.39865795,116.93997805744,440,2423.3313341428
General-0-20200620-21:14:22-20653,0,exercise_7.Users[135].pppg$o[0].channel,throughput:stats,31241,,1133.3664191953,139.85899080896,349.23638131883,2422.8686869388
General-0-20200620-21:14:22-20653,0,exercise_7.Users[136].pppg$o[0].channel,throughput:stats,32694,,1371.4406482364,180.21723863656,440,2567.6141084163
General-0-20200620-21:14:22-20653,0,exercise_7.Users[137].pppg$o[0].channel,throughput:stats,32129,,1348.180245926,225.78297120942,440,2738.170457975
General-0-20200620-21:14:22-20653,0,exercise_7.Users[138].pppg$o[0].channel,throughput:stats,34746,,1403.4356555885,115.47875426794,440,2523.086262686
General-0-20200620-21:14:22-20653,0,exercise_7.Users[139].pppg$o[0].channel,throughput:stats,30681,,1233.8515520424,98.951270196068,440,2421.0198632887
General-0-20200620-21:14:22-20653,0,exercise_7.Users[140].pppg$o[0].channel,throughput:stats,32950,,1309.3437166624,99.181354188482,440,2420.5580981626
General-0-20200620-21:14:22-20653,0,exercise_7.Users[141].pppg$o[0].channel,throughput:stats,34427,,1220.6889983989,156.98674373014,440,2686.094552599
General-0-20200620-21:14:22-20653,0,exercise_7.Users[142].pppg$o[0].channel,throughput:stats,32582,,1185.7132054721,108.82269273702,440,2717.1017977378
General-0-20200620-21:14:22-20653,0,exercise_7.Users[143].pppg$o[0].channel,throughput:stats,32275,,1354.2230097009,148.42163136809,440,2419.1738590589
General-0-20200620-21:14:22-20653,0,exercise_7.Users[144].pppg$o[0].channel,throughput:stats,35107,,1407.4543810903,102.24635612185,378.59366468977,2418.7127977802
General-0-20200620-21:14:22-20653,0,exercise_7.Users[145].pppg$o[0].channel,throughput:stats,32501,,1225.1681278786,118.91728456476,440,2614.0325797827
General-0-20200620-21:14:22-20653,0,exercise_7.Users[146].pppg$o[0].channel,throughput:stats,31107,,1212.7284324333,133.30969839739,440,2472.8949753906
General-0-20200620-21:14:22-20653,0,exercise_7.Users[147].pppg$o[0].channel,throughput:stats,28819,,1114.9064426082,90.971673437383,440,2417.3306678049
General-0-20200620-21:14:22-20653,0,exercise_7.Users[148].pppg$o[0].channel,throughput:stats,35489,,1467.7981675502,128.89319795905,440,2622.4914770736
